id,publish_date,japanese,english,explanation,example_ja,example_en,alternatives,quiz,caption,status
"0001","2026-09-01","しょうがない","It can't be helped.","自分では変えられない状況を受け入れるときの表現です。少しかためなので、日常会話では Oh well. もよく使います。","終電を逃しちゃった。しょうがない、タクシーで帰ろう。","We missed the last train. Oh well, let's take a taxi home.","Oh well. / There's nothing we can do about it.","「まあ、しょうがないか」に最も近いカジュアルな表現は？","今日の1000本ノックは「しょうがない」。状況や気持ちの強さによって英語を使い分けてみましょう。保存して声に出して3回練習！","published"
"0002","2026-08-13","お疲れさま","Good job today.","日本語の「お疲れさま」に完全一致する英語はありません。仕事の成果をねぎらうなら Good job today. が自然です。","今日は忙しかったね。お疲れさま。","It was a busy day. Good job today.","Nice work today. / Have a good evening.","仕事終わりに同僚をねぎらう自然な一言は？","今日の1000本ノックは「お疲れさま」。直訳せず、場面に合うひと言を選びましょう。保存して声に出して3回練習！ #英語1000本ノック #英会話","approved"
"0003","2026-08-14","ちょっといい？","Got a minute?","相手に少し時間があるかをカジュアルに尋ねる表現です。話しかける前のワンクッションとして使えます。","ちょっといい？相談したいことがあるんだ。","Got a minute? I want to ask you something.","Do you have a second? / Can I talk to you?","相手に少しだけ時間があるか聞く表現は？","今日の1000本ノックは「ちょっといい？」。会話を自然に始めるひと言です。保存して3回音読！ #英語1000本ノック #英会話","approved"
"0004","2026-08-15","なるほど","I see.","説明を聞いて理解したと伝える定番表現です。同意ではなく、内容を把握したという意味でも使います。","なるほど、だから遅れたんだね。","I see. That's why you were late.","That makes sense. / Got it.","説明を理解したときの短い相づちは？","今日の1000本ノックは「なるほど」。相づちの幅を増やして会話をスムーズに！保存して3回練習。 #英語1000本ノック #英会話","approved"
"0005","2026-08-16","まかせて","Leave it to me.","自分が責任を持って対応すると頼もしく伝える表現です。親しい会話から仕事まで使えます。","予約はどうする？まかせて。","What about the reservation? Leave it to me.","I've got this. / I'll take care of it.","自分が引き受けると自信を持って言う表現は？","今日の1000本ノックは「まかせて」。頼られたときにサッと言えるようにしよう！保存して3回音読。 #英語1000本ノック #英会話","approved"
"0006","2026-08-17","念のため","Just in case.","起こる可能性は低くても備えておくときに使います。文頭にも文末にも置ける便利な表現です。","念のため、傘を持っていこう。","Let's take an umbrella, just in case.","To be safe. / Just to make sure.","万一に備える気持ちを表す定番フレーズは？","今日の1000本ノックは「念のため」。短いのに使える場面が多い表現です。保存して3回練習！ #英語1000本ノック #英会話","approved"
"0007","2026-08-18","気にしないで","Don't worry about it.","謝られたときや相手が心配しているときに、問題ないと安心させる表現です。","遅れてごめん。気にしないで。","Sorry I'm late. Don't worry about it.","No worries. / It's okay.","軽い謝罪に対して「大丈夫」と返す表現は？","今日の1000本ノックは「気にしないで」。相手を安心させる自然な返しを練習！保存して3回音読。 #英語1000本ノック #英会話","approved"
"0008","2026-08-19","そろそろ行こう","We should get going.","今すぐ命令するのではなく、出発する時間だとやわらかく提案する表現です。","もう10時だ。そろそろ行こう。","It's already ten. We should get going.","It's time to go. / We'd better get going.","帰る時間だとやわらかく切り出す表現は？","今日の1000本ノックは「そろそろ行こう」。帰り際に自然に使えるひと言です。保存して3回練習！ #英語1000本ノック #英会話","approved"
"0009","2026-08-20","ありえない","No way.","驚きや強い否定を表すカジュアルな表現です。言い方によって「信じられない」にも「絶対いや」にもなります。","彼が優勝したって。ありえない！","He won the contest. No way!","You're kidding. / That's unbelievable.","驚いて「うそでしょ」と反応する短い表現は？","今日の1000本ノックは「ありえない」。声のトーンも一緒に練習しよう！保存して3回音読。 #英語1000本ノック #英会話","approved"
"0010","2026-08-21","まあまあかな","Not bad.","最高ではないけれど悪くない、という控えめな評価です。英語では日本語より前向きに聞こえることがあります。","新しい仕事はどう？まあまあかな。","How's your new job? Not bad.","It's okay. / Pretty good.","悪くないと控えめに評価する短い表現は？","今日の1000本ノックは「まあまあかな」。評価の温度感を英語で表してみよう。保存して3回練習！ #英語1000本ノック #英会話","approved"
